Save: Cetus v4.3.3 @ 2200.01.05 — Patch mismatch: save=Cetus v4.3.3, installed=Cetus v4.3 — minor fixes, data likely still valid
42 empires in 2200.01.05.sav:

Rank | ID | Military | Economy | Tech | Fleet | Naval Cap | Pops | Score
——————————————————————————————————————————————————————————————————————————————————————————
   1 |  35 |     397971 |         1 |  175222 |   556 |       556 |   77300 |    59142
   2 |  36 |      81636 |         1 |  175222 |   328 |       584 |   64000 |    58826
   3 |  33 |     195756 |         1 |  175222 |   392 |       712 |   40500 |    58306
   4 |  31 |     423547 |         1 |  174982 |   750 |       750 |   26900 |    44764
   5 |  39 |     529650 |         1 |  174982 |   750 |       750 |   25400 |    44644
   6 |  32 |     458683 |         1 |  174982 |   620 |       620 |   26300 |    44642
   7 |  38 |     404407 |         1 |  174982 |   750 |       750 |   17700 |    44260
   8 |  37 |     343232 |         1 |  174982 |   620 |       620 |   18800 |    44182
   9 | 170 |          0 |         1 |     312 |     0 |         0 |   12800 |      495
  10 | 16777220 |        191 |         1 |     427 |    15 |        15 |    4800 |      263
  11 | 16777245 |        242 |         1 |     372 |    15 |        15 |    5200 |      258
  12 | 16777236 |        227 |         1 |     382 |    15 |        15 |    4800 |      252
  13 | 16777229 |        199 |         1 |     372 |    15 |        15 |    4800 |      250
  14 | 16777233 |        176 |         1 |     310 |    15 |        15 |    5300 |      244
  15 | 16777234 |        191 |         1 |     252 |    15 |        15 |    5700 |      238
  16 |  21 |        191 |         1 |     252 |    15 |        15 |    5700 |      238
  17 | 16777239 |        176 |         1 |     252 |    15 |        15 |    5700 |      238
  18 | 16777242 |        191 |         1 |     252 |    15 |        15 |    5700 |      238
  19 | 16777221 |        235 |         1 |     282 |    16 |        16 |    5200 |      235
  20 | 16777230 |        221 |         1 |     282 |    16 |        16 |    5200 |      235
  21 | 16777225 |        188 |         1 |     252 |    15 |        15 |    5500 |      234
  22 | 16777232 |        210 |         1 |     302 |    15 |        15 |    4800 |      232
  23 | 16777218 |        184 |         1 |     252 |    15 |        15 |    5300 |      230
  24 | 16777240 |        179 |         1 |     252 |    15 |        15 |    5300 |      230
  25 |   0 |        176 |         1 |     252 |    15 |        15 |    5200 |      228
  26 |   1 |        199 |         1 |     252 |    15 |        15 |    5200 |      228
  27 | 16777219 |        188 |         1 |     252 |    15 |        15 |    5200 |      228
  28 | 16777222 |        188 |         1 |     252 |    15 |        15 |    5200 |      228
  29 |   8 |        176 |         1 |     252 |    15 |        15 |    5200 |      228
  30 | 16777228 |        191 |         1 |     252 |    15 |        15 |    5200 |      228
  31 | 16777231 |        188 |         1 |     252 |    15 |        15 |    5200 |      228
  32 | 16777235 |        176 |         1 |     252 |    15 |        15 |    5200 |      228
  33 | 16777241 |        196 |         1 |     252 |    15 |        15 |    5200 |      228
  34 | 16777244 |        188 |         1 |     252 |    15 |        15 |    5200 |      228
  35 | 16777246 |        176 |         1 |     252 |    15 |        15 |    5200 |      228
  36 | 16777223 |        221 |         1 |     282 |    16 |        16 |    4800 |      227
  37 | 16777238 |        176 |         1 |     252 |    15 |        15 |    5000 |      224
  38 | 16777227 |        176 |         1 |     252 |    15 |        15 |    4800 |      220
  39 | 16777243 |        188 |         1 |     252 |    15 |        15 |    4800 |      220
  40 |  40 |        213 |         1 |     252 |    15 |        15 |    4800 |      220
  41 | 16777226 |        198 |         1 |     290 |    15 |        15 |    4000 |      213
  42 | 161 |        176 |         1 |     252 |    15 |        15 |    4800 |      210
